Aba;Endereco;FormulaR1C1;Valor
Analitos;R16;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));10
Analitos;S16;=IF(RC1="","",IF(RC11<>"",RC11/3,""));3.33333333333333
Analitos;T16;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y16;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));84.0144431366405
Analitos;Z16;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));90.1855568633595
Analitos;AA16;=IF(RC25="","",RC5-(RC5-RC25)*1.1);83.7058874503046
Analitos;AB16;=IF(RC26="","",RC5+(RC26-RC5)*1.1);90.4941125496954
Analitos;AC16;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));275.582377132091
Analitos;AD16;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));295.690350140636
Analitos;AE16;=IF(RC29="","",RC7-(RC7-RC29)*1.1);274.576978481664
Analitos;AF16;=IF(RC30="","",RC7+(RC30-RC7)*1.1);296.695748791064
Analitos;Q17;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R17;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));15
Analitos;S17;=IF(RC1="","",IF(RC11<>"",RC11/3,""));5
Analitos;T17;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y17;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));4.77966728403314
Analitos;Z17;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));5.36124180687595
Analitos;AA17;=IF(RC25="","",RC5-(RC5-RC25)*1.1);4.750588557891
Analitos;AB17;=IF(RC26="","",RC5+(RC26-RC5)*1.1);5.39032053301809
Analitos;AC17;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));9.63370254426085
Analitos;AD17;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));10.3953883648301
Analitos;AE17;=IF(RC29="","",RC7-(RC7-RC29)*1.1);9.59561825323239
Analitos;AF17;=IF(RC30="","",RC7+(RC30-RC7)*1.1);10.4334726558585
Analitos;Q18;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R18;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));15
Analitos;S18;=IF(RC1="","",IF(RC11<>"",RC11/3,""));5
Analitos;T18;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y18;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));1.96
Analitos;Z18;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));2.32
Analitos;AA18;=IF(RC25="","",RC5-(RC5-RC25)*1.1);1.942
Analitos;AB18;=IF(RC26="","",RC5+(RC26-RC5)*1.1);2.338
Analitos;AC18;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));4.1540258157043
Analitos;AD18;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));5.2459741842957
Analitos;AE18;=IF(RC29="","",RC7-(RC7-RC29)*1.1);4.09942839727473
Analitos;AF18;=IF(RC30="","",RC7+(RC30-RC7)*1.1);5.30057160272527
Analitos;Q19;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R19;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));10
Analitos;S19;=IF(RC1="","",IF(RC11<>"",RC11/3,""));3.33333333333333
Analitos;T19;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y19;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));6.67134767811121
Analitos;Z19;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));7.36865232188879
Analitos;AA19;=IF(RC25="","",RC5-(RC5-RC25)*1.1);6.63648244592233
Analitos;AB19;=IF(RC26="","",RC5+(RC26-RC5)*1.1);7.40351755407766
Analitos;AC19;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));4.28598514030927
Analitos;AD19;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));4.77765122332709
Analitos;AE19;=IF(RC29="","",RC7-(RC7-RC29)*1.1);4.26140183615838
Analitos;AF19;=IF(RC30="","",RC7+(RC30-RC7)*1.1);4.80223452747798
Analitos;Q20;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R20;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));25
Analitos;S20;=IF(RC1="","",IF(RC11<>"",RC11/3,""));8.33333333333333
Analitos;T20;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y20;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));152.76
